Date,File,Words,CharsWord,CharsWhite
2018-01-27T18:56:11Z,00-scratch.Rmd,297,1370,409
2018-01-27T18:56:11Z,01-prospectus.Rmd,155,996,262
2018-01-27T18:56:11Z,02-specific-aims.Rmd,1049,5988,1318
2018-01-27T18:56:11Z,03-significance.Rmd,2401,13605,2650
2018-01-27T18:56:11Z,04-hypotheses.Rmd,656,3695,1120
2018-01-27T18:56:11Z,05-methods.Rmd,1663,8676,2781
2018-01-27T18:56:11Z,06-outcomes.Rmd,501,2670,563
2018-01-27T18:56:11Z,07-analysis.Rmd,3055,16383,3948
2018-01-27T18:56:11Z,10-aim1-part.Rmd,11,70,37
2018-01-27T18:56:11Z,11-aim1-notebook.Rmd,1194,5902,1473
2018-01-27T18:56:11Z,12-aim1-notebook.Rmd,3602,18815,4659
2018-01-27T18:56:11Z,15-aim1-notebook.Rmd,956,4589,1081
2018-01-27T18:56:11Z,20-aim2-part.Rmd,9,63,35
2018-01-27T18:56:11Z,21-aim1-notebook.Rmd,376,1876,503
2018-01-27T18:56:11Z,90-appendix.Rmd,717,3785,3391
2018-01-27T18:56:11Z,99-references.Rmd,0,0,0
