Date,File,Words,CharsWord,CharsWhite
2017-11-17T21:47:24Z,00-scratch.Rmd,267,1248,349
2017-11-17T21:47:24Z,01-prospectus.Rmd,155,996,262
2017-11-17T21:47:24Z,02-specific-aims.Rmd,1049,5988,1318
2017-11-17T21:47:24Z,03-significance.Rmd,2401,13605,2650
2017-11-17T21:47:24Z,04-hypotheses.Rmd,656,3695,1120
2017-11-17T21:47:24Z,05-methods.Rmd,1664,8681,2782
2017-11-17T21:47:24Z,06-outcomes.Rmd,501,2670,563
2017-11-17T21:47:24Z,07-analysis.Rmd,3099,16609,3998
2017-11-17T21:47:24Z,10-aim1-part.Rmd,11,70,37
2017-11-17T21:47:24Z,11-aim1-notebook.Rmd,257,1251,388
2017-11-17T21:47:24Z,12-aim1-notebook.Rmd,1987,10176,2396
2017-11-17T21:47:24Z,15-aim1-notebook.Rmd,533,2641,611
2017-11-17T21:47:24Z,90-appendix.Rmd,716,3783,3391
2017-11-17T21:47:24Z,99-references.Rmd,0,0,0
